dataset	superfamily	superfamily_name	n_substrate	n_substrate_total	n_background	n_background_total	odds_ratio	ci_lower	ci_upper	pvalue	pvalue_bh	significant
groel	1.10.10.10	Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain	15	247	1	663	42.80172413793103	5.62253846354472	325.8292675199547	2.818884630105482e-08	2.3455950611447137e-06	True
groel	3.20.20.70	Aldolase class I	22	247	7	663	9.163174603174603	3.8623596707102754	21.738982375202617	3.813975709178397e-08	2.3455950611447137e-06	True
groel	1.50.40.10		0	247	48	663	0.0	0.0015746860003486862	0.41741521283851113	2.9262316086418516e-07	1.199754959543159e-05	True
groel	3.40.50.2300		6	247	0	663	inf	2.0044027930703856	636.4280163744612	0.00038241456303807545	0.011759247813420819	True
groel	3.20.20.140	Metal-dependent hydrolases	5	247	0	663	inf	1.657942010875376	546.3543465673051	0.001430104047726683	0.035180559574076405	True
groel	3.40.640.10	Type I PLP-dependent aspartate aminotransferase-like (Major domain)	13	247	10	663	3.6277777777777778	1.5695439492471097	8.38509275974803	0.003097240660259763	0.06349343353532513	False
groel	3.40.190.10	Periplasmic binding protein-like II	4	247	0	663	inf	1.3154156542410604	457.1996994783742	0.005331992869307379	0.0936907318464011	False
groel	3.90.1150.10	Aspartate Aminotransferase, domain 1	11	247	9	663	3.3870056497175143	1.3861186496615465	8.27620873149602	0.008802180809698936	0.13533352994912112	False
groel	1.10.10.60	Homeodomain-like	3	247	0	663	inf	0.9776107717165511	369.10865545337117	0.019820153821557565	0.21463036859496956	False
groel	3.40.190.290		3	247	0	663	inf	0.9776107717165511	369.10865545337117	0.019820153821557565	0.21463036859496956	False
groel	6.10.250.690		3	247	0	663	inf	0.9776107717165511	369.10865545337117	0.019820153821557565	0.21463036859496956	False
groel	3.20.20.100	NADP-dependent oxidoreductase domain	4	247	1	663	10.897119341563785	1.2119445797315762	97.98072612411359	0.020939548155606787	0.21463036859496956	False
groel	1.10.437.10		0	247	11	663	0.0	0.0067288773429926155	1.9525957585058997	0.04177028294289245	0.38247103094976603	False
groel	1.10.238.10		0	247	12	663	0.0	0.006210293321491249	1.7851976364336433	0.043533288075583126	0.38247103094976603	False
groel	3.30.1360.40		3	247	1	663	8.139344262295081	0.8426035044038784	78.62407962215323	0.06328463667830243	0.45788295949595287	False
groel	3.30.70.260		3	247	1	663	8.139344262295081	0.8426035044038784	78.62407962215323	0.06328463667830243	0.45788295949595287	False
groel	3.40.1280.10		3	247	1	663	8.139344262295081	0.8426035044038784	78.62407962215323	0.06328463667830243	0.45788295949595287	False
groel	2.40.50.140	Nucleic acid-binding proteins	4	247	3	663	3.6213991769547325	0.8046713297841077	16.297998342213862	0.09122104952626205	0.5905362679858016	False
groel	3.30.420.40		4	247	3	663	3.6213991769547325	0.8046713297841077	16.297998342213862	0.09122104952626205	0.5905362679858016	False
groel	1.10.540.10		0	247	9	663	0.0	0.008069987733251004	2.400428744868489	0.12358904892584269	0.6909751371763023	False
groel	1.20.140.10		0	247	9	663	0.0	0.008069987733251004	2.400428744868489	0.12358904892584269	0.6909751371763023	False
groel	2.40.110.10		0	247	9	663	0.0	0.008069987733251004	2.400428744868489	0.12358904892584269	0.6909751371763023	False
groel	3.20.20.60	Phosphoenolpyruvate-binding domains	2	247	1	663	5.404081632653061	0.4878165058539621	59.86697445026802	0.18072744341783287	0.8106646866449383	False
groel	3.30.2350.10	Pseudouridine synthase	2	247	1	663	5.404081632653061	0.4878165058539621	59.86697445026802	0.18072744341783287	0.8106646866449383	False
groel	3.30.360.10	Dihydrodipicolinate Reductase; domain 2	2	247	1	663	5.404081632653061	0.4878165058539621	59.86697445026802	0.18072744341783287	0.8106646866449383	False
groel	3.90.640.10	Actin; Chain A, domain 4	2	247	1	663	5.404081632653061	0.4878165058539621	59.86697445026802	0.18072744341783287	0.8106646866449383	False
groel	4.10.320.10	E3-binding domain	2	247	1	663	5.404081632653061	0.4878165058539621	59.86697445026802	0.18072744341783287	0.8106646866449383	False
groel	1.10.630.10		0	247	6	663	0.0	0.011468857232091949	3.641113833289095	0.19812747514207601	0.8106646866449383	False
groel	1.20.1560.10		0	247	6	663	0.0	0.011468857232091949	3.641113833289095	0.19812747514207601	0.8106646866449383	False
groel	3.40.50.720	NAD(P)-binding Rossmann-like Domain	7	247	33	663	0.5568181818181818	0.24303201593386164	1.275743388836808	0.20322485436845356	0.8106646866449383	False
groel	1.25.40.10	Tetratricopeptide repeat domain	1	247	12	663	0.22052845528455284	0.028523465030083982	1.7050102271549938	0.20431386411376493	0.8106646866449383	False
groel	1.10.150.240	Putative phosphatase; domain 2	2	247	2	663	2.6979591836734693	0.37795530689044204	19.258847869221672	0.2981702501572201	0.901859111774412	False
groel	3.10.20.30		2	247	2	663	2.6979591836734693	0.37795530689044204	19.258847869221672	0.2981702501572201	0.901859111774412	False
groel	3.10.50.40		2	247	2	663	2.6979591836734693	0.37795530689044204	19.258847869221672	0.2981702501572201	0.901859111774412	False
groel	1.10.287.110	DnaJ domain	1	247	9	663	0.2953929539295393	0.03722910174792873	2.3437846505677116	0.30206961293901524	0.901859111774412	False
groel	3.30.300.30		1	247	9	663	0.2953929539295393	0.03722910174792873	2.3437846505677116	0.30206961293901524	0.901859111774412	False
groel	3.90.79.10	Nucleoside Triphosphate Pyrophosphohydrolase	1	247	9	663	0.2953929539295393	0.03722910174792873	2.3437846505677116	0.30206961293901524	0.901859111774412	False
groel	3.40.50.12780	N-terminal domain of ligase-like	1	247	10	663	0.2654471544715447	0.03380226460536108	2.084540566724772	0.3055121700415425	0.901859111774412	False
groel	1.25.10.10		0	247	5	663	0.0	0.013324656986708462	4.390558254777526	0.3312469046052362	0.901859111774412	False
groel	3.30.1360.120		0	247	5	663	0.0	0.013324656986708462	4.390558254777526	0.3312469046052362	0.901859111774412	False
groel	3.30.420.10		0	247	5	663	0.0	0.013324656986708462	4.390558254777526	0.3312469046052362	0.901859111774412	False
groel	3.30.530.20		0	247	5	663	0.0	0.013324656986708462	4.390558254777526	0.3312469046052362	0.901859111774412	False
groel	3.30.559.70		0	247	5	663	0.0	0.013324656986708462	4.390558254777526	0.3312469046052362	0.901859111774412	False
groel	2.40.30.10	Translation factors	3	247	3	663	2.7049180327868854	0.5422732881225762	13.49242480563015	0.35276893101749457	0.901859111774412	False
groel	3.40.47.10		3	247	5	663	1.618032786885246	0.38377844838963765	6.821722560037128	0.4537951349358411	0.901859111774412	False
groel	3.50.50.60	FAD/NAD(P)-binding domain	8	247	15	663	1.4460251046025105	0.6053244174698209	3.4543272050395193	0.475567509535659	0.901859111774412	False
groel	2.40.50.100		4	247	7	663	1.5426219870664315	0.4476257401404357	5.316232695273952	0.5015727553525727	0.901859111774412	False
groel	3.40.50.150	Vaccinia Virus protein VP39	6	247	23	663	0.6927656503698358	0.27868109136652397	1.7221270520328942	0.5276819221218538	0.901859111774412	False
groel	1.10.10.140		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.10.12.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.10.1670.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.10.287.1130		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.10.340.30		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.10.533.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.10.730.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.20.20.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.25.40.20		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	2.30.30.140		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	2.30.42.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	3.10.180.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	3.30.1050.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	3.30.1600.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	3.30.428.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	3.40.50.1460		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	4.10.640.10		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	6.10.250.1760		0	247	3	663	0.0	0.019620834181089813	7.407671072296538	0.5669893263717263	0.901859111774412	False
groel	1.10.1200.10		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	1.10.287.810		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	1.10.600.10		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	1.20.5.110		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	1.25.70.10		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	2.40.30.110		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
