family	hypothesis	test_id	test	pvalue_raw	pvalue_within_family	effect_size	effect_name	pvalue_bh_within_family	family_bh	family_significant	significant_within_family	significant_overall
domain_architecture	H1.1/H1.2	groel_1.10.10.10	fisher_exact	2.818884630105482e-08	2.3455950611447137e-06	42.80172413793103	odds_ratio	4.672120243743536e-06	2.818884630105482e-08	True	True	True
domain_architecture	H1.1/H1.2	groel_3.20.20.70	fisher_exact	3.813975709178397e-08	2.3455950611447137e-06	9.163174603174603	odds_ratio	4.672120243743536e-06	2.818884630105482e-08	True	True	True
domain_architecture	H1.1/H1.2	groel_1.50.40.10	fisher_exact	2.9262316086418516e-07	1.199754959543159e-05	0.0	odds_ratio	2.389755813724179e-05	2.818884630105482e-08	True	True	True
domain_architecture	H1.1/H1.2	groel_3.40.50.2300	fisher_exact	0.00038241456303807545	0.011759247813420819	inf	odds_ratio	0.015615261324054748	2.818884630105482e-08	True	True	True
domain_architecture	H1.1/H1.2	groel_3.20.20.140	fisher_exact	0.001430104047726683	0.035180559574076405	inf	odds_ratio	0.04379693646162967	2.818884630105482e-08	True	True	True
domain_architecture	H1.1/H1.2	groel_3.40.640.10	fisher_exact	0.003097240660259763	0.06349343353532513	3.6277777777777778	odds_ratio	0.06898399652396744	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_3.40.190.10	fisher_exact	0.005331992869307379	0.0936907318464011	inf	odds_ratio	0.10886152108169234	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_3.90.1150.10	fisher_exact	0.008802180809698936	0.13533352994912112	3.3870056497175143	odds_ratio	0.16588725372124918	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_1.10.10.60	fisher_exact	0.019820153821557565	0.21463036859496956	inf	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_3.40.190.290	fisher_exact	0.019820153821557565	0.21463036859496956	inf	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_6.10.250.690	fisher_exact	0.019820153821557565	0.21463036859496956	inf	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_3.20.20.100	fisher_exact	0.020939548155606787	0.21463036859496956	10.897119341563785	odds_ratio	0.2052075719249465	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_1.10.437.10	fisher_exact	0.04177028294289245	0.38247103094976603	0.0	odds_ratio	0.3555218526172622	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_1.10.238.10	fisher_exact	0.043533288075583126	0.38247103094976603	0.0	odds_ratio	0.3555218526172622	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_3.30.1360.40	fisher_exact	0.06328463667830243	0.45788295949595287	8.139344262295081	odds_ratio	0.40801936805747624	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_3.30.70.260	fisher_exact	0.06328463667830243	0.45788295949595287	8.139344262295081	odds_ratio	0.40801936805747624	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_3.40.1280.10	fisher_exact	0.06328463667830243	0.45788295949595287	8.139344262295081	odds_ratio	0.40801936805747624	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_2.40.50.140	fisher_exact	0.09122104952626205	0.5905362679858016	3.6213991769547325	odds_ratio	0.5321227889031953	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	groel_3.30.420.40	fisher_exact	0.09122104952626205	0.5905362679858016	3.6213991769547325	odds_ratio	0.5321227889031953	2.818884630105482e-08	True	False	False
