uniprot_id	gene_symbol	protein_name	mitocarta_score	sub_mito_localization	pathways	is_matrix	is_im	is_ims	is_om
O75648	TRMU	tRNA mitochondrial 2-thiouridylase	15.0407	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications	1	0	0	0
P82650	MRPS22	mitochondrial ribosomal protein S22	15.0324	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
P28838	LAP3	leucine aminopeptidase 3	15.0096	Matrix	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
P00367	GLUD1	glutamate dehydrogenase 1	14.9838	Matrix	Metabolism > Amino acid metabolism > Glutamate metabolism | Metabolism > Amino acid metabolism > GABA metabolism	1	0	0	0
P35914	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	14.9768	Matrix	Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	1	0	0	0
P49789	FHIT	fragile histidine triad diadenosine triphosphatase	14.9656	Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	1	0	0	0
Q9Y291	MRPS33	mitochondrial ribosomal protein S33	14.9601	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q8TB37	NUBPL	nucleotide binding protein like	14.9062	Matrix	OXPHOS > Complex I > CI assembly factors | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS assembly factors	1	0	0	0
Q9NU23	LYRM2	LYR motif containing 2	14.8599	Matrix	OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors	1	0	0	0
Q2QL34	MPV17L	MPV17 mitochondrial inner membrane protein like	14.8338	MIM	Small molecule transport	0	1	0	0
Q8TAE8	GADD45GIP1	GADD45G interacting protein 1	14.8305	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q00059	TFAM	transcription factor A, mitochondrial	14.8274	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription	1	0	0	0
P54886	ALDH18A1	aldehyde dehydrogenase 18 family member A1	14.6874	Matrix	Metabolism > Amino acid metabolism > Proline metabolism	1	0	0	0
Q9NWU1	OXSM	3-oxoacyl-ACP synthase, mitochondrial	14.6313	Matrix	Metabolism > Lipid metabolism > Type II fatty acid synthesis	1	0	0	0
Q6YP21	KYAT3	kynurenine aminotransferase 3	14.6313	Matrix	Metabolism > Amino acid metabolism > Kynurenine metabolism | Metabolism > Metals and cofactors > NAD biosynthesis and metabolism	1	0	0	0
Q9BW92	TARS2	threonyl-tRNA synthetase 2, mitochondrial	14.6313	Matrix	Mitochondrial central dogma > Translation > mt-tRNA synthetases	1	0	0	0
Q969Z0	TBRG4	transforming growth factor beta regulator 4	14.6312	Matrix	Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay	1	0	0	0
Q6PI78	TMEM65	transmembrane protein 65	14.6312	MIM	0	0	1	0	0
P60602	ROMO1	reactive oxygen species modulator 1	14.6285	MIM	Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway | Small molecule transport	0	1	0	0
P30044	PRDX5	peroxiredoxin 5	14.4942	Matrix	Metabolism > Detoxification > ROS and glutathione metabolism	1	0	0	0
Q9Y5T4	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	14.4932	MIM	Protein import, sorting and homeostasis > Protein import and sorting > Import motor	0	1	0	0
Q8WWC4	MAIP1	matrix AAA peptidase interacting protein 1	14.4625	Matrix	Protein import, sorting and homeostasis > Protein homeostasis > Chaperones	1	0	0	0
Q9Y241	HIGD1A	HIG1 hypoxia inducible domain family member 1A	14.4522	MIM	OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly	0	1	0	0
Q4G0I0	C16orf91	chromosome 16 open reading frame 91	14.3685	IMS	0	0	0	1	0
Q8IXI1	RHOT2	ras homolog family member T2	14.3175	MOM	Signaling > Calcium homeostasis > EF hand proteins | Mitochondrial dynamics and surveillance > Trafficking	0	0	0	1
Q96H78	SLC25A44	solute carrier family 25 member 44	14.296	MIM	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Small molecule transport > SLC25A family	0	1	0	0
Q9NYQ3	HAO2	hydroxyacid oxidase 2	14.2925	unknown	Metabolism > Lipid metabolism	0	0	0	0
Q15070	OXA1L	OXA1L mitochondrial inner membrane protein	14.278	MIM	Protein import, sorting and homeostasis > Protein import and sorting > OXA | Mitochondrial central dogma > Translation	0	1	0	0
Q96AG3	SLC25A46	solute carrier family 25 member 46	14.2347	MOM	Small molecule transport > SLC25A family | Mitochondrial dynamics and surveillance > Fission | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions	0	0	0	1
Q9HBH5	RDH14	retinol dehydrogenase 14	14.212	Membrane	Metabolism > Vitamin metabolism > Vitamin A metabolism	0	1	0	0
