family	hypothesis	test	n1	n2	statistic	p_value	p_bh_within	effect_size	ci_low	ci_high	direction	sig_within_family	family_significant	significant_overall
domain_architecture	H1.3_HSP60_CATH_class	Chi-squared	471	51196	116.95125718682604	2.3916422493948303e-24	5.739941398547594e-23	0.0475768653459249			different	True	True	True
domain_architecture	H1.2_GroEL_SF_3.20.20.70	Fisher exact	499	51168	22.645702306079663	2.3780633790711347e-21	2.8536760548853613e-20	22.645702306079663	14.17193848261395	36.1861458518689	enriched	True	True	True
domain_architecture	H1.3_GroEL_CATH_class	Chi-squared	499	51168	101.28899298978196	5.22875967461953e-21	4.183007739695624e-20	0.0442766244706538			different	True	True	True
domain_architecture	H1.2_HSP60_SF_3.30.830.10	Fisher exact	471	51196	60.81283422459893	1.3100375224281815e-16	7.860225134569089e-16	60.81283422459893	29.917323757375712	123.61402498499936	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_3.90.226.10	Fisher exact	471	51196	35.19642242862057	2.542515981585265e-14	1.2204076711609273e-13	35.19642242862057	18.27346906275665	67.79162443209495	enriched	True	True	True
domain_architecture	H1.2_GroEL_SF_3.40.640.10	Fisher exact	499	51168	19.250594099576887	1.827516356381979e-12	7.310065425527916e-12	19.250594099576887	10.586185672863513	35.00650608619287	enriched	True	True	True
domain_architecture	H1.2_GroEL_SF_3.90.1150.10	Fisher exact	499	51168	13.388820053374	2.880591221441383e-09	9.876312759227598e-09	13.388820053374	7.1028840205150905	25.23770652933033	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_3.40.50.620	Fisher exact	471	51196	11.310372305104254	6.29277626759603e-08	1.887832880278809e-07	11.310372305104254	5.862812102962641	21.81965231589556	enriched	True	True	True
domain_architecture	H1.2_GroEL_SF_2.40.50.100	Fisher exact	499	51168	15.713791645851746	1.3461004652472764e-07	3.589601240659404e-07	15.713791645851746	7.432173866098999	33.2235564369063	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_3.50.50.60	Fisher exact	471	51196	7.755585955312357	1.519942948170929e-07	3.64786307561023e-07	7.755585955312357	4.288916965568901	14.024312896031978	enriched	True	True	True
domain_architecture	H1.2_GroEL_SF_3.50.50.60	Fisher exact	499	51168	7.305668306193591	2.811012907876777e-07	6.133119071731149e-07	7.305668306193591	4.041749676410821	13.205367396111964	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_3.40.50.720	Fisher exact	471	51196	4.80434833983221	7.398624298576925e-07	1.4170987222295264e-06	4.80434833983221	2.8882607065254864	7.9915787789861135	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_3.40.30.10	Fisher exact	471	51196	6.599883517763541	7.675951412076601e-07	1.4170987222295264e-06	6.599883517763541	3.6600590576983008	11.901027213325742	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_2.40.30.10	Fisher exact	471	51196	10.034949931278224	2.9563556229295826e-06	5.068038210736427e-06	10.034949931278224	4.838163289951245	20.8137291133627	enriched	True	True	True
domain_architecture	H1.2_GroEL_SF_1.10.10.10	Fisher exact	499	51168	3.5730653643876784	4.534509471360307e-05	7.255215154176491e-05	3.5730653643876784	2.119272653308474	6.024140441889882	enriched	True	True	True
domain_architecture	H1.2_GroEL_SF_3.40.50.150	Fisher exact	499	51168	5.145481049562682	0.0001112480036864	0.0001668720055296	5.145481049562682	2.6193842479425973	10.107709570371096	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_1.25.40.10	Fisher exact	471	51196	3.1913021618903974	0.0006466433442051	0.0009129082506426	3.1913021618903974	1.78463180483331	5.706728671372961	enriched	True	True	True
domain_architecture	H1.1_GroEL_multi_domain	Fisher exact	252	24767	1.5384680020424917	0.0007664639060065	0.0010219518746753	1.5384680020424917	1.1957362666978355	1.9794363182150865	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_3.40.50.300	Fisher exact	471	51196	2.0615070991168905	0.0010157523224472	0.0012830555651965	2.0615070991168905	1.383277355862665	3.072277227482691	enriched	True	True	True
domain_architecture	H1.2_HSP60_SF_2.40.50.140	Fisher exact	471	51196	3.872941176470588	0.0057458799348114	0.0068950559217737	3.872941176470588	1.7070138736114755	8.787083449220622	enriched	True	True	True
domain_architecture	H1.2_GroEL_SF_3.30.420.40	Fisher exact	499	51168	2.7954662104362704	0.0065858387182453	0.0075266728208518	2.7954662104362704	1.4332872641864611	5.452243614350773	enriched	True	True	True
domain_architecture	H1.1_HSP60_multi_domain	Fisher exact	266	24753	1.3337896744986013	0.0223099016181715	0.0243380744925507	1.3337896744986013	1.0460782387419822	1.7006327346399166	enriched	True	True	True
