dataset	metric	value
matrix	std_frac_plddt>70	0.0756
matrix	mean_frac_plddt>90	0.8042
matrix	std_frac_plddt>90	0.2279
matrix	mean_frac_helix	0.4052
matrix	std_frac_helix	0.1774
matrix	mean_frac_strand	0.2128
matrix	std_frac_strand	0.1297
matrix	mean_frac_coil	0.3820
matrix	std_frac_coil	0.0933
matrix	top_arch_rank1	3.40.30.10:11
matrix	top_arch_rank2	3.40.50.720:9
matrix	top_arch_rank3	3.40.50.12780|3.30.300.30:8
matrix	top_arch_rank4	3.40.50.150:8
matrix	top_arch_rank5	3.40.50.300:8
matrix	top_arch_rank6	3.90.1150.10|3.40.640.10:7
matrix	top_arch_rank7	1.10.540.10|2.40.110.10|1.20.140.10:6
matrix	top_arch_rank8	3.40.605.10|3.40.309.10:6
matrix	top_arch_rank9	3.90.79.10:6
matrix	top_arch_rank10	3.90.226.10|1.10.12.10:5
mito	n_proteins	1132
mito	n_domains_total	1628
mito	n_proteins_with_domains	898
mito	n_domains_0_count	234
mito	n_domains_1_count	479
mito	n_domains_2_count	253
mito	n_domains_3_count	83
mito	n_domains_4_count	46
mito	n_domains_5_count	25
mito	n_domains_6_count	6
mito	n_domains_7_count	2
mito	n_domains_8_count	2
mito	n_domains_9_count	1
mito	n_domains_10_count	1
mito	single_domain_proteins	479
mito	multi_domain_proteins	419
mito	no_domain_proteins	234
mito	top_sf_rank1	3.40.50.300:83
mito	top_sf_rank2	1.50.40.10:61
mito	top_sf_rank3	3.40.50.720:53
mito	top_sf_rank4	3.50.50.60:32
mito	top_sf_rank5	1.25.40.10:27
mito	top_sf_rank6	3.40.50.150:25
mito	top_sf_rank7	1.10.238.10:24
mito	top_sf_rank8	3.40.30.10:24
mito	top_sf_rank9	3.30.830.10:20
mito	top_sf_rank10	3.90.226.10:20
mito	cath_class_alpha-beta	979
mito	cath_class_mainly-alpha	459
mito	cath_class_mainly-beta	143
mito	cath_class_class-6	24
mito	cath_class_few-SS	23
mito	mean_mean_plddt	91.7351
mito	std_mean_plddt	6.6748
mito	mean_min_plddt	61.8171
mito	std_min_plddt	20.5092
mito	mean_frac_plddt>70	0.9478
mito	std_frac_plddt>70	0.1026
mito	mean_frac_plddt>90	0.7641
mito	std_frac_plddt>90	0.2553
mito	mean_frac_helix	0.4500
mito	std_frac_helix	0.2048
mito	mean_frac_strand	0.1837
mito	std_frac_strand	0.1408
mito	mean_frac_coil	0.3663
mito	std_frac_coil	0.1094
mito	top_arch_rank1	1.50.40.10:36
mito	top_arch_rank2	3.40.50.300:22
mito	top_arch_rank3	3.40.50.720:19
mito	top_arch_rank4	3.40.30.10:17
mito	top_arch_rank5	3.40.50.150:15
mito	top_arch_rank6	1.10.437.10:11
mito	top_arch_rank7	3.90.1150.10|3.40.640.10:11
mito	top_arch_rank8	1.50.40.10|1.50.40.10:10
mito	top_arch_rank9	3.40.50.12780|3.30.300.30:9
mito	top_arch_rank10	3.40.605.10|3.40.309.10:8
